OC;Fecha_OC;raz_soc_prove;total;Num_ING;Fecha_Ing;idAlma;DiasDemora
OC-0091-11-15;42325.68929;;45.01;NI - 01116;42328.66069;21;3
OC-0062-02-17;42779.59477;A & A REPRESENTACIONES Y SERVICIOS S.R.L. - AYARYS S.R.L.;927.08;NI - 03277;42780.78093;21;1
OC-0012-03-17;42796.64633;A & A REPRESENTACIONES Y SERVICIOS S.R.L. - AYARYS S.R.L.;2572.4;NI - 03396;42798.68889;21;2
OC-0104-01-17;42759.68731;A & A REPRESENTACIONES Y SERVICIOS S.R.L. - AYARYS S.R.L.;938.1;NI - 03168;42765.80366;21;6
OC-0105-10-16;42672.56719;A & A REPRESENTACIONES Y SERVICIOS S.R.L. - AYARYS S.R.L.;472;NI - 02601;42679.39926;21;7
OC-0067-08-16;42600.74717;A & A REPRESENTACIONES Y SERVICIOS S.R.L. - AYARYS S.R.L.;136.88;NI - 02227;42609.55197;21;9
OC-0058-09-16;42635.63795;A & A REPRESENTACIONES Y SERVICIOS S.R.L. - AYARYS S.R.L.;59;NI - 02415;42653.43467;21;18
OC-0033-01-16;42380.70661;A & A REPRESENTACIONES Y SERVICIOS S.R.L. - AYARYS S.R.L.;578.02;NI - 01390;42403.43159;21;23
00433-05-2015;42132.60084;A & A REPRESENTACIONES Y SERVICIOS S.R.L. - AYARYS S.R.L.;59;NI - 00329;42156.52123;21;24
00928-09-2015;42256.75856;A&J TECNEX E.I.R.L.;400;NI - 00793;42262.40957;21;6
00745-08-2015;42225.44678;A&J TECNEX E.I.R.L.;270;NI - 01115;42324.69893;21;99
OC-0016-03-17;42800.45353;ACEROS EL BOSQUE S.A.C.;841.15;NI - 03416;42802.3528;21;2
OC-0122-02-17;42788.72313;ACEROS EL BOSQUE S.A.C.;134.54;NI - 03350;42790.71871;21;2
01117-10-2015;42290;ACEROS EL BOSQUE S.A.C.;301.6;NI - 00935;42293.35662;21;3
00496-05-2015;42154;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;5447.38;NI - 00352;42157.42279;21;3
OC-0060-06-16;42541.53847;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;695.34;NI - 01980;42546.64075;21;5
OC-0092-03-16;42452.51466;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;613.96;NI - 01579;42457.60732;21;5
OC-0005-01-17;42739.46869;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;287.21;NI - 03043;42745.85391;21;6
OC-0012-06-16;42523.80576;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;712.71;NI - 01935;42531.4317;21;8
OC-0011-06-16;42523.80192;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;253.7;NI - 01934;42531.43105;21;8
OC-0010-06-16;42523.7987;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;9001.78;NI - 01933;42531.43021;21;8
OC-0038-07-16;42562.74016;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;1663.47;NI - 02044;42572.50065;21;10
OC-0041-05-16;42501.74301;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;7643.08;NI - 01806;42513.66406;21;12
OC-0054-02-16;42417.72701;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;646.24;NI - 01439;42433.59947;21;16
OC-0021-03-16;42433.77514;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;1424.94;NI - 01677;42478.46934;21;45
OC-0116-11-15;42331.49675;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;3379.5;NI - 01164;42387.55396;21;56
OC-0082-04-16;42488.73711;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;2212.74;NI - 01737;42545.49449;21;57
OC-0093-11-15;42325.73425;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;1234.75;NI - 01133;42387.55215;21;62
OC-0021-03-16;42433.77514;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;1424.94;NI - 01572;42513.4864;21;80
OC-0071-11-15;42321.69889;ACEROS OTERO DEL PERU S.A.C. / SERVIPERU;1357.68;NI - 01109;42661.75516;21;340
OC-0035-04-16;42478.62392;ACEROS PROCESADOS S.A.;679.68;NI - 01692;42483.70148;21;5
OC-0081-03-16;42450.48436;ACEROS PROCESADOS S.A.;2248.47;NI - 01569;42457.45329;21;7
OC-0042-08-16;42594.74432;ACEROS PROCESADOS S.A.;1747.52;NI - 02202;42602.69972;21;8
OC-0059-09-16;42636.42308;ACEROS PROCESADOS S.A.;130.18;NI - 02398;42644.55722;21;8
OC-0070-02-17;42780.66142;ACEROS PROCESADOS S.A.;811.37;NI - 03338;42789.81021;21;9
OC-0024-03-16;42436.48365;ACEROS PROCESADOS S.A.;12733.97;NI - 01526;42447.57236;21;11
OC-0028-08-16;42588.48818;ACEROS PROCESADOS S.A.;345.55;NI - 02198;42602.66694;21;14
00718-07-2015;42216;ACEROS PROCESADOS S.A.;8227.35;NI - 00654;42231.67117;21;15
OC-0043-08-16;42594.7493;ACEROS PROCESADOS S.A.;2767.32;NI - 02220;42609.54605;21;15
OC-0088-08-16;42608.68889;ACEROS PROCESADOS S.A.;606.61;NI - 02324;42629.39375;21;21
OC-0001-12-15;42339.4781;ACEROS Y TECHOS S.A.;3186.65;NI - 01216;42345.68232;21;6
OC-0096-11-15;42325.77728;ACEROS Y TECHOS S.A.;6723.32;NI - 01158;42334.63596;21;9
01229-09-2014;41893.65749;ACEROS Y TECHOS S.A.;681.57;NI - 00212;41915.42909;21;22
OC-0081-07-16;42573.73661;ACEROS Y TECHOS S.A.;2425.91;NI - 02203;42602.70433;21;29
OC-0023-12-15;42349.46119;ACEROS Y TECHOS S.A.;3001.5;NI - 01229;42382.61362;21;33
00920-09-2015;42255;ACEROS Y TECHOS S.A.;10177.02;NI - 00940;42293.37529;21;38
01061-10-2015;42278;ACROPUNTALES PERU E.I.R.L.;6755.43;NI - 00997;42302.47818;21;24
OC-0065-08-16;42600.50457;AISLA PERU S.A.C.;654.75;NI - 02233;42609.56793;21;9
OC-0063-06-16;42542.70566;ANODIPLAC S.A.C.;873.2;NI - 01992;42551.69048;21;9
00661-07-2015;42199;BATERICENTRO UN NUEVO AMANECER J.A S.A.C ;2599.6;NI - 00536;42199.75647;21;0
OC-0112-11-16;42697.59653;BATERICENTRO UN NUEVO AMANECER J.A S.A.C ;1358;NI - 02752;42704.40442;21;7
OC-0064-10-16;42664.49937;C & Z INTERNATIONAL TOOLS S.A.C.;70;NI - 02534;42669.66985;21;5
OC-0092-04-17;42849.52996;C & Z INTERNATIONAL TOOLS S.A.C.;212;NI - 03704;42857.49619;21;8
00562-06-2015;42170;C & Z INTERNATIONAL TOOLS S.A.C.;106.6;NI - 00564;42208.49973;21;38
00927-09-2015;42256;CAMITEK PERU S.R.L.;331.49;NI - 00880;42277.61166;14;21
OC-0074-12-16;42723.65454;CB METAL S.A.;33219.41;NI - 02893;42725.83743;21;2
OC-0074-12-16;42723.65454;CB METAL S.A.;33219.41;NI - 02930;42730.50861;21;7
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02792;42712.68279;21;8
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02793;42712.68552;21;8
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02794;42712.68707;21;8
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02802;42712.71271;21;8
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02803;42712.75726;21;8
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02804;42712.75936;21;8
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02805;42712.76192;21;8
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02807;42713.35452;21;9
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02808;42713.3579;21;9
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02809;42713.49881;21;9
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02810;42713.51176;21;9
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02811;42713.51434;21;9
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02812;42713.51624;21;9
OC-0148-11-16;42704.48163;CB METAL S.A.;363613.71;NI - 02813;42713.51976;21;9
