nFacID;cFacSerie;cFacNumero;cComCodigo;cConVoucher;idProveedor;nMon_ID;nTC;desRUC;desProveedor;desDireccion;idFormaPago;Descripcion;cMonNombre;nComDetalle;idInsumo;nFacDCantidad;nFacDPrecio;nFacDAfecto;nFacDExento;nFacDDcto;nFacDIGV;nFacDIGVPercep;nFacDMonto;cInsCod;cInsSerie;DesLogIns;idUnidadMedida;DesLogUniMed;idTipoInsumo;DesTipoInsumo;nSubID;cSubDescripcion;dFacFecDoc;dFacFecOpera;dFechaSistema;dFacFecAnulo;dFechaVencimiento;dFacFecCancelo;nSucID;cSucCodigo;cSucNombre;cFacOCRefer;idContrato;Contrato;Nombre;sFacTipo;nFacMonto;cMonSimbolo;nNotUnico;cUsuFecha;estado
331;001;0021543        ;FC ;1     ;5;1;2.993;20100063761              ;FUNDICION CENTRAL S.A.                                                                              ;Mz C Lote 10, Calle1 - Urb. Santa Raquel- Ate Lima - Perú                                           ;20;CHEQUE DIFERIDO 30 DIAS;Nuevos Soles;FACTURA;889;5;134.4;672;0;0;127.68;0;799.68;61N8-31310CP                                      ;                                                                                                    ;PUNTA (R250LC-7 R305LC-7)                                                                           ;1;UNIDAD (ES)                                       ;8;ESTRUCTURA                              ;267;PUNTA;39720;39720;39720;;39750;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;799.68;S/;0;39720.67152;1
332;026;0015778        ;FC ;1     ;1;2;2.993;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;20;CHEQUE DIFERIDO 30 DIAS;Dólares Americanos;FACTURA;844;6;8.3284;49.9704;0;0;9.49438;0;59.46478;3925177CP                                         ;                                                                                                    ;INSERTO DE VALVULA                                                                                  ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;148;ASIENTO DE VALVULA ;39727;39727;39727;;39757;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;128.82;$;0;39731.49328;1
332;026;0015778        ;FC ;1     ;1;2;2.993;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;20;CHEQUE DIFERIDO 30 DIAS;Dólares Americanos;FACTURA;843;6;8.3284;49.9704;0;0;9.49438;0;59.46478;3925176CP                                         ;                                                                                                    ;INSERTO DE VALVULA                                                                                  ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;148;ASIENTO DE VALVULA ;39727;39727;39727;;39757;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;128.82;$;0;39731.49328;1
332;026;0015778        ;FC ;1     ;1;2;2.993;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;20;CHEQUE DIFERIDO 30 DIAS;Dólares Americanos;FACTURA;890;14;0.5936;8.3104;0;0;1.57898;0;9.88938;31NA-61012CP                                      ;                                                                                                    ;MANGUERA DE A/P 0X90 R360LC-7 / A (31NA-61011)                                                      ;1;UNIDAD (ES)                                       ;5;MANGUERA                                ;8;MANGUERA HIDRAULICA;39727;39727;39727;;39757;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;128.82;$;0;39731.49328;1
333;026;0016330        ;FC ;2     ;1;2;0;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;19;FACTURA 30 DIAS;Dólares Americanos;FACTURA;906;1;1.55;1.55;0;0;0.2945;0;1.8445;3964189CP                                         ;                                                                                                    ;SELLO DE CAUCHO                                                                                     ;1;UNIDAD (ES)                                       ;15;ARO / SELLO                             ;128;KIT SELLOS;39715;39715;39734;;39745;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;680.74;$;0;39734.64955;1
333;026;0016330        ;FC ;2     ;1;2;0;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;19;FACTURA 30 DIAS;Dólares Americanos;FACTURA;890;1;508.87;508.87;0;0;96.6853;0;605.5553;31NA-61012CP                                      ;                                                                                                    ;MANGUERA DE A/P 0X90 R360LC-7 / A (31NA-61011)                                                      ;1;UNIDAD (ES)                                       ;5;MANGUERA                                ;8;MANGUERA HIDRAULICA;39715;39715;39734;;39745;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;680.74;$;0;39734.64955;1
333;026;0016330        ;FC ;2     ;1;2;0;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;19;FACTURA 30 DIAS;Dólares Americanos;FACTURA;908;1;7.64;7.64;0;0;1.4516;0;9.0916;3914136CP                                         ;                                                                                                    ;TAPA                                                                                                ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;33;TAPON;39715;39715;39734;;39745;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;680.74;$;0;39734.64955;1
333;026;0016330        ;FC ;2     ;1;2;0;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;19;FACTURA 30 DIAS;Dólares Americanos;FACTURA;909;1;35.99;35.99;0;0;6.8381;0;42.8281;3921644CP                                         ;                                                                                                    ;CONEXION DE LLENADO ACEITE                                                                          ;1;UNIDAD (ES)                                       ;9;PERNERIA                                ;42;NIPLES;39715;39715;39734;;39745;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;680.74;$;0;39734.64955;1
333;026;0016330        ;FC ;2     ;1;2;0;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;19;FACTURA 30 DIAS;Dólares Americanos;FACTURA;910;1;18;18;0;0;3.42;0;21.42;3921815CP                                         ;                                                                                                    ;SUJETADOR                                                                                           ;1;UNIDAD (ES)                                       ;8;ESTRUCTURA                              ;104;TOPE;39715;39715;39734;;39745;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;680.74;$;0;39734.64955;1
334;002;010841         ;FC ;2     ;8;1;2.993;10099584675              ;NIPPON FILTER`S                                                                                     ;AV Iquitos # 323-La victoria_Lima                                                                   ;1;CONTADO;Nuevos Soles;FACTURA;905;2;23.53;47.06;0;0;8.9414;0;56.0014;32B40-00100                                       ;                                                                                                    ;FILTRO DE ACEITE                                                                                    ;1;UNIDAD (ES)                                       ;1;FILTRO                                  ;26;FILTRO DE ACEITE;39734;39734;39734;;39824;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;56;S/;0;39734.66432;1
335;001;0006298        ;FC ;3     ;7;1;2.993;20512834656              ;ECOREP S.A.C.                                                                                       ;AV. JAVIER PRADO ESTE NRO. 1520 LIMA - LIMA - SAN ISIDRO                                            ;1;CONTADO;Nuevos Soles;FACTURA;26;1;6.91;6.91;0;0;1.3129;0;8.2229;FS1280                                            ;                                                                                                    ;FILTRO SEPARADOR DE AGUA(11E1-70210)                                                                ;1;UNIDAD (ES)                                       ;1;FILTRO                                  ;27;FILTRO SEPARADOR DE PETROLEO;39735;39735;39735;;39825;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;45.74;S/;0;39735.61888;1
