IdOrden;IdDetalleOrden;IdInsumo;cInsCod;IdMarca;DescripcionOC;DescripcionOCLarga;Cantidad;PrecioUnitario;EstadoDetalle;IdProveedor;IdFormaPago;IdContrato;NumOrdenRef;NumOrden;nFacID;Fecha;Atencion;Motivo;Nota;Facturacion;estadoOrden;Moneda;desProveedor;desPago;desContrato;desInsumo;desMarcaInsumo;NumCotizacion;FecCotizacion;OCEstado;desRUC;nOcoDIGV;nOcoDMonto;nTC;cResponsable;Via;cTabProcedencia;cAgencia;nOrdAprobado
3;556;1197;3802463CP                                         ;0;;;6;16.85;VERDADERO;1;20;23;ID290032;HCE-08-1201;0;39783;Sr. Manuel Chavarría/Jorge Flores;;ID290032;;1;2;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;CHEQUE DIFERIDO 30 DIAS;NINGUNO                   ;VALVULA DE ADMISIÓN                                                                                 ; ;22757;39765;1;20302241598              ;19.209;120.309;3.1;;;0;0;0
3;557;1198;3802085CP                                         ;0;;;6;20.29;VERDADERO;1;20;23;ID290032;HCE-08-1201;0;39783;Sr. Manuel Chavarría/Jorge Flores;;ID290032;;1;2;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;CHEQUE DIFERIDO 30 DIAS;NINGUNO                   ;VÁLVULA DE ESCAPE                                                                                   ; ;22757;39765;1;20302241598              ;23.1306;144.8706;3.1;;;0;0;0
3;558;1200;3923564CP                                         ;0;;;12;13.25;VERDADERO;1;20;23;ID290032;HCE-08-1201;0;39783;Sr. Manuel Chavarría/Jorge Flores;;ID290032;;1;2;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;CHEQUE DIFERIDO 30 DIAS;NINGUNO                   ;GUÍA DE VÁLVULA                                                                                     ; ;22757;39765;1;20302241598              ;30.21;189.21;3.1;;;0;0;0
3;559;1199;3924582CP                                         ;0;;;6;16.48;VERDADERO;1;20;23;ID290032;HCE-08-1201;0;39783;Sr. Manuel Chavarría/Jorge Flores;;ID290032;;1;2;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;CHEQUE DIFERIDO 30 DIAS;NINGUNO                   ;ASIENTO DE VÁLVULA DE ADMISIÓN                                                                      ; ;22757;39765;1;20302241598              ;18.7872;117.6672;3.1;;;0;0;0
3;560;1201;3928174CP                                         ;0;;;6;8.15;VERDADERO;1;20;23;ID290032;HCE-08-1201;0;39783;Sr. Manuel Chavarría/Jorge Flores;;ID290032;;1;2;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;CHEQUE DIFERIDO 30 DIAS;NINGUNO                   ;ASIENTO DE VÁLVULA DE ESCAPE                                                                        ; ;22757;39765;1;20302241598              ;9.291;58.191;3.1;;;0;0;0
3;561;854;3970951CP                                         ;0;;;6;7.33;VERDADERO;1;20;23;ID290032;HCE-08-1201;0;39783;Sr. Manuel Chavarría/Jorge Flores;;ID290032;;1;2;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;CHEQUE DIFERIDO 30 DIAS;NINGUNO                   ;BOCINA DE BIELA                                                                                     ; ;22757;39765;1;20302241598              ;8.3562;52.3362;3.1;;;0;0;0
4;577;7;FF5580                                            ;0;;;12;13.83;VERDADERO;7;12;23;;HCE-08-1202;354;39788;LUIS BENDEZU;;;;4;2;ECOREP S.A.C.                                                                                       ;LETRA ;NINGUNO                   ;FILTRO DE COMBUSTIBLE (11LB-70020)                                                                  ; ;0;39788;4;20512834656              ;31.5324;197.4924;3.1;SR. R.RIVERA;;0;0;0
4;578;26;FS1280                                            ;0;;;12;6.91;VERDADERO;7;12;23;;HCE-08-1202;354;39788;LUIS BENDEZU;;;;4;2;ECOREP S.A.C.                                                                                       ;LETRA ;NINGUNO                   ;FILTRO SEPARADOR DE AGUA(11E1-70210)                                                                ; ;0;39788;4;20512834656              ;15.7548;98.6748;3.1;SR. R.RIVERA;;0;0;0
4;579;13;FF5052                                            ;0;;;12;5.95;VERDADERO;7;12;23;;HCE-08-1202;354;39788;LUIS BENDEZU;;;;4;2;ECOREP S.A.C.                                                                                       ;LETRA ;NINGUNO                   ; FILTRO DE PETROLEO (FF42000)                                                                       ; ;0;39788;4;20512834656              ;13.566;84.966;3.1;SR. R.RIVERA;;0;0;0
4;580;17;LF3552                                            ;0;;;9;9.12;VERDADERO;7;12;23;;HCE-08-1202;354;39788;LUIS BENDEZU;;;;4;2;ECOREP S.A.C.                                                                                       ;LETRA ;NINGUNO                   ;FILTRO DE ACEITE (LF3349)                                                                           ; ;0;39788;4;20512834656              ;15.5952;97.6752;3.1;SR. R.RIVERA;;0;0;0
