nFacID;cFacSerie;cFacNumero;cComCodigo;nFacDMonto;cCenDetalle;desProveedor;Articulo;cCueDetalle;Actividad;idProveedor;nCenID;idInsumo;idContrato;dFacFecDoc
333;026;0016330        ;FC ;9.0916;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;TAPA                                                                                                ;;NINGUNO.;1;2;908;0;39715
333;026;0016330        ;FC ;42.8281;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;CONEXION DE LLENADO ACEITE                                                                          ;;NINGUNO.;1;2;909;0;39715
333;026;0016330        ;FC ;21.42;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;SUJETADOR                                                                                           ;;NINGUNO.;1;2;910;0;39715
331;001;0021543        ;FC ;799.68;;FUNDICION CENTRAL S.A.                                                                              ;PUNTA (R250LC-7 R305LC-7)                                                                           ;;NINGUNO.;5;0;889;0;39720
337;001;0006453        ;FC ;24.6687;;ECOREP S.A.C.                                                                                       ;FILTRO DE AIRE INTERNO (E211-2104)                                                                  ;;NINGUNO.;7;2;971;0;39749
338;001;0021721        ;FC ;1645.056;;FUNDICION CENTRAL S.A.                                                                              ;PUNTA HL757-7 (64L3-01290)                                                                          ;;NINGUNO.;5;2;1000;0;39752
342;001;011627         ;FC ;57.12;;METSER S.R. LTDA                                                                                    ;ARANDELA DE SEGURIDAD PIN HL757                                                                     ;;NINGUNO.;13;2;1054;0;39763
342;001;011627         ;FC ;152.32;;METSER S.R. LTDA                                                                                    ;PIN DE UÑAS HL757 (64L3-01300)                                                                      ;;NINGUNO.;13;2;1053;0;39763
346;023;0013838        ;FC ;31.70636;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;TUBO - INDICADOR NIVEL DE ACEITE(3910120)                                                           ;;NINGUNO.;1;0;1146;0;39776
350;026;19137          ;FC ;120.30115;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;VALVULA DE ADMISIÓN                                                                                 ;;NINGUNO.;1;2;1197;0;39786
333;026;0016330        ;FC ;1.8445;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;SELLO DE CAUCHO                                                                                     ;;NINGUNO.;1;2;906;0;39715
350;026;19137          ;FC ;58.21813;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;ASIENTO DE VÁLVULA DE ESCAPE                                                                        ;;NINGUNO.;1;2;1201;0;39786
359;001;21941          ;FC ;1440.0666;;FUNDICION CENTRAL S.A.                                                                              ;PUNTA R360LC7-A                                                                                     ;;NINGUNO.;5;2;888;0;39799
360;006;000741         ;FC ;43.9824;;O RING`S HOME E.I.R.L.                                                                              ;ANILLO DE JEBE                                                                                      ;;NINGUNO.;25;0;1300;0;39805
360;006;000741         ;FC ;59.9998;;O RING`S HOME E.I.R.L.                                                                              ;ANILLO DE JEBE                                                                                      ;;NINGUNO.;25;0;1301;0;39805
361;001;19256          ;FC ;290.76222;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;EMPAQUE DE CARTER                                                                                   ;;NINGUNO.;1;2;873;0;39808
361;001;19256          ;FC ;5.98332;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;ARANDELA                                                                                            ;;NINGUNO.;1;2;884;0;39808
361;001;19256          ;FC ;27.80316;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;CONECTOR BANJO                                                                                      ;;NINGUNO.;1;2;1174;0;39808
361;001;19256          ;FC ;9.3534;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;VALVULA CHECK                                                                                       ;;NINGUNO.;1;2;885;0;39808
361;001;19256          ;FC ;4.19832;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;SEAL RING                                                                                           ;;NINGUNO.;1;2;1175;0;39808
361;001;19256          ;FC ;304.32822;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;ENFRIADOR                                                                                           ;;NINGUNO.;1;2;858;0;39808
361;001;19256          ;FC ;6.44028;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;VALVULA LIBERADORA DE PRESION                                                                       ;;NINGUNO.;1;2;860;0;39808
361;001;19256          ;FC ;1.45656;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;REGULADOR PLUNGER                                                                                   ;;NINGUNO.;1;2;1176;0;39808
361;001;19256          ;FC ;1.45656;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;RESORTE                                                                                             ;;NINGUNO.;1;2;861;0;39808
361;001;19256          ;FC ;2.07774;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;ANILLO DE JEBE                                                                                      ;;NINGUNO.;1;2;862;0;39808
361;001;19256          ;FC ;251.28516;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;BOMBA DE ACEITE                                                                                     ;;NINGUNO.;1;2;863;0;39808
361;001;19256          ;FC ;6.15468;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;SELLO DE ANILLO RECTANGULAR                                                                         ;;NINGUNO.;1;2;1177;0;39808
361;001;19256          ;FC ;633.91776;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;EJE DE LEVAS                                                                                        ;;NINGUNO.;1;2;864;0;39808
361;001;19256          ;FC ;5.2122;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;SOPORTE SEGURO DE EJE DE LEVAS                                                                      ;;NINGUNO.;1;2;866;0;39808
361;001;19256          ;FC ;1.32804;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;CHAVETA                                                                                             ;;NINGUNO.;1;2;865;0;39808
361;001;19256          ;FC ;2.95596;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;PERNO                                                                                               ;;NINGUNO.;1;2;1178;0;39808
361;001;19256          ;FC ;735.00588;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;INYECTOR                                                                                            ;;NINGUNO.;1;2;1179;0;39808
361;001;19256          ;FC ;10.6029;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;TAPON                                                                                               ;;NINGUNO.;1;2;867;0;39808
361;001;19256          ;FC ;26.38944;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;PERNO DE MÚLTIPLE DE ESCAPE                                                                         ;;NINGUNO.;1;2;1185;0;39808
361;001;19256          ;FC ;2.95596;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;ABRAZADERA                                                                                          ;;NINGUNO.;1;2;1187;0;39808
361;001;19256          ;FC ;24.99714;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;MANGUERA PLANA                                                                                      ;;NINGUNO.;1;2;1188;0;39808
361;001;19256          ;FC ;1.70646;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;ANILLO DE JEBE                                                                                      ;;NINGUNO.;1;2;1190;0;39808
361;001;19256          ;FC ;134.36766;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;TENSIONER, BELT                                                                                     ;;NINGUNO.;1;2;1191;0;39808
361;001;19256          ;FC ;205.55346;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;BOMBA DE AGUA                                                                                       ;;NINGUNO.;1;2;1192;0;39808
361;001;19256          ;FC ;8.09676;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;EMPAQUE                                                                                             ;;NINGUNO.;1;2;1170;0;39808
361;001;19256          ;FC ;100.23132;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;OIL SEAL ( 3926126 )                                                                                ;;NINGUNO.;1;2;875;0;39808
361;001;19256          ;FC ;99.98142;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;OIL SEAL                                                                                            ;;NINGUNO.;1;2;874;0;39808
361;001;19256          ;FC ;30.4521;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;TAPON                                                                                               ;;NINGUNO.;1;2;877;0;39808
361;001;19256          ;FC ;6.426;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;"TAPON 11/16 ""                                                                                       ";;NINGUNO.;1;2;916;0;39808
361;001;19256          ;FC ;2.41332;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;"TAPON PLANO 2 3/8 ""                                                                                 ";;NINGUNO.;1;2;917;0;39808
361;001;19256          ;FC ;0.79254;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;TAPON                                                                                               ;;NINGUNO.;1;2;880;0;39808
361;001;19256          ;FC ;2.12058;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;TAPON                                                                                               ;;NINGUNO.;1;2;879;0;39808
361;001;19256          ;FC ;6.96864;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;TAPON DE 1 PLUG                                                                                     ;;NINGUNO.;1;2;1173;0;39808
361;001;19256          ;FC ;198.43488;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;BUZO H                                                                                              ;;NINGUNO.;1;2;881;0;39808
361;001;19256          ;FC ;38.22756;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;KIT DE TERMOSTATO                                                                                   ;;NINGUNO.;1;2;882;0;39808
354;001;6829           ;FC ;197.4924;;ECOREP S.A.C.                                                                                       ;FILTRO DE COMBUSTIBLE (11LB-70020)                                                                  ;;NINGUNO.;7;2;7;0;39788
354;001;6829           ;FC ;98.6748;;ECOREP S.A.C.                                                                                       ;FILTRO SEPARADOR DE AGUA(11E1-70210)                                                                ;;NINGUNO.;7;2;26;0;39788
354;001;6829           ;FC ;84.966;;ECOREP S.A.C.                                                                                       ; FILTRO DE PETROLEO (FF42000)                                                                       ;;NINGUNO.;7;2;13;0;39788
354;001;6829           ;FC ;97.6752;;ECOREP S.A.C.                                                                                       ;FILTRO DE ACEITE (LF3349)                                                                           ;;NINGUNO.;7;2;17;0;39788
354;001;6829           ;FC ;436.1112;;ECOREP S.A.C.                                                                                       ;FILTRO DE ACEITE (11NA-70110)                                                                       ;;NINGUNO.;7;2;14;0;39788
355;026;0018868        ;FC ;343.3745;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;METALES DE BANCADA 0.25                                                                             ;;NINGUNO.;1;2;1235;0;39792
355;026;0018868        ;FC ;209.4162;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;METAL DE BIELA 0.25                                                                                 ;;NINGUNO.;1;2;1236;0;39792
355;026;0018868        ;FC ;263.5374;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;METAL DE BIELA 0.25 INF                                                                             ;;NINGUNO.;1;2;1237;0;39792
355;026;0018868        ;FC ;343.8624;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;CAMISA DE MOTOR                                                                                     ;;NINGUNO.;1;2;1172;0;39792
355;026;0018868        ;FC ;118.0956;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;VÁLVULA DE ADMISIÓN                                                                                 ;;NINGUNO.;1;2;1180;0;39792
355;026;0018868        ;FC ;118.6668;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;VÁLVULA DE ESCAPE                                                                                   ;;NINGUNO.;1;2;1181;0;39792
355;026;0018868        ;FC ;376.4208;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;GUIA DE VÁLVULA                                                                                     ;;NINGUNO.;1;2;1184;0;39792
355;026;0018868        ;FC ;188.7816;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;ASIENTO DE VÁLVULA DE ESCAPE                                                                        ;;NINGUNO.;1;2;1182;0;39792
355;026;0018868        ;FC ;81.039;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;ASIENTO DE VÁLVULA DE ADMISIÓN                                                                      ;;NINGUNO.;1;2;1183;0;39792
351;026;18759          ;FC ;2661.4638;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;KIT DE OVERHAUL                                                                                     ;;NINGUNO.;1;2;1196;0;39786
357;026;0018941        ;FC ;2292.2256;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;TURBOCHARGER KIT (4024967)                                                                          ;;NINGUNO.;1;2;1247;0;39794
361;001;19256          ;FC ;165.69977;;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;JGO DE EMPAQUE ALTA                                                                                 ;;NINGUNO.;1;2;1169;0;39808
