nDocID;cDocSerie;cDocNumero;cComCodigo;nDocDMonto;MontoDolares;Nombre;Articulo;Cuenta;cParArancelaria;cDocTermino;Documento;CliCodigo;nCenID;idInsumo;idContrato;dFechaDoc;dFechaCancelo;nVenID;cVenNombre;idformapago;desFormaPago;cDocObs;Origen;cNumGuia;nClaID;desClase;idTipoInsumo;desCategoria;nSubID;cSubDescripcion;nComDetalle;cMonSimbolo;NIVEL;IDNIVEL;GRADO;AULA;Proyecto
158;001;1019;FC ;249.32;83.3;FIRTH INDUSTRIES PERU S.A.;FILTRO HIDRAULICO (31E3-0018)                                                                       ;0254235  DETALLES NN                                                 ;           ;;FC001-1019                ;9;0;21;23;39735;;1;PABLO CHACHAPOYAS;19;FACTURA 30 DIAS;;Otro;;1;FILTRO                                  ;1;FILTRO                                  ;159;ELEMENT;FACTURA;$;Otros; ; ;;NINGUNO                   
158;001;1019;FC ;747.95;249.9;FIRTH INDUSTRIES PERU S.A.;FILTRO ELEMENTO DE RETORNO HIDRAULICO                                                               ;0254235  DETALLES NN                                                 ;           ;;FC001-1019                ;9;0;25;23;39735;;1;PABLO CHACHAPOYAS;19;FACTURA 30 DIAS;;Otro;;1;FILTRO                                  ;1;FILTRO                                  ;159;ELEMENT;FACTURA;$;Otros; ; ;;NINGUNO                   
158;001;1019;FC ;683.84;228.48;FIRTH INDUSTRIES PERU S.A.;FILTRO ELEMENTO RESPIRADERO                                                                         ;0254235  DETALLES NN                                                 ;           ;;FC001-1019                ;9;0;33;23;39735;;1;PABLO CHACHAPOYAS;19;FACTURA 30 DIAS;;Otro;;1;FILTRO                                  ;1;FILTRO                                  ;159;ELEMENT;FACTURA;$;Otros; ; ;;NINGUNO                   
158;001;1019;FC ;480.83;160.65;FIRTH INDUSTRIES PERU S.A.;FILTRO DE AIRE EXTERNO (14L1-01560)                                                                 ;0254235  DETALLES NN                                                 ;           ;;FC001-1019                ;9;0;514;23;39735;;1;PABLO CHACHAPOYAS;19;FACTURA 30 DIAS;;Otro;;1;FILTRO                                  ;1;FILTRO                                  ;40;FILTRO PARA AIRE.;FACTURA;$;Otros; ; ;;NINGUNO                   
158;001;1019;FC ;2211.8;738.99;FIRTH INDUSTRIES PERU S.A.;FILTRO DE AIRE INTERNO (14L1-01570)                                                                 ;0254235  DETALLES NN                                                 ;           ;;FC001-1019                ;9;0;515;23;39735;;1;PABLO CHACHAPOYAS;19;FACTURA 30 DIAS;;Otro;;1;FILTRO                                  ;1;FILTRO                                  ;40;FILTRO PARA AIRE.;FACTURA;$;Otros; ; ;;NINGUNO                   
158;001;1019;FC ;683.84;228.48;FIRTH INDUSTRIES PERU S.A.;FILTRO RESPIRADERO                                                                                  ;0254235  DETALLES NN                                                 ;           ;;FC001-1019                ;9;0;911;23;39735;;1;PABLO CHACHAPOYAS;19;FACTURA 30 DIAS;;Otro;;1;FILTRO                                  ;1;FILTRO                                  ;159;ELEMENT;FACTURA;$;Otros; ; ;;NINGUNO                   
159;001;1020;FC ;249.32;83.3;FIRTH INDUSTRIES PERU S.A.;FILTRO HIDRAULICO (31E3-0018)                                                                       ;0254235  DETALLES NN                                                 ;           ;;FC001-1020                ;9;0;21;23;39735;;1;PABLO CHACHAPOYAS;19;FACTURA 30 DIAS;;Otro;;1;FILTRO                                  ;1;FILTRO                                  ;159;ELEMENT;FACTURA;$;Otros; ; ;;NINGUNO                   
159;001;1020;FC ;747.95;249.9;FIRTH INDUSTRIES PERU S.A.;FILTRO ELEMENTO DE RETORNO HIDRAULICO                                                               ;0254235  DETALLES NN                                                 ;           ;;FC001-1020                ;9;0;25;23;39735;;1;PABLO CHACHAPOYAS;19;FACTURA 30 DIAS;;Otro;;1;FILTRO                                  ;1;FILTRO                                  ;159;ELEMENT;FACTURA;$;Otros; ; ;;NINGUNO                   
159;001;1020;FC ;683.84;228.48;FIRTH INDUSTRIES PERU S.A.;FILTRO ELEMENTO RESPIRADERO                                                                         ;0254235  DETALLES NN                                                 ;           ;;FC001-1020                ;9;0;33;23;39735;;1;PABLO CHACHAPOYAS;19;FACTURA 30 DIAS;;Otro;;1;FILTRO                                  ;1;FILTRO                                  ;159;ELEMENT;FACTURA;$;Otros; ; ;;NINGUNO                   
159;001;1020;FC ;2211.8;738.99;FIRTH INDUSTRIES PERU S.A.;FILTRO DE AIRE EXTERNO (14L1-01560)                                                                 ;0254235  DETALLES NN                                                 ;           ;;FC001-1020                ;9;0;514;23;39735;;1;PABLO CHACHAPOYAS;19;FACTURA 30 DIAS;;Otro;;1;FILTRO                                  ;1;FILTRO                                  ;40;FILTRO PARA AIRE.;FACTURA;$;Otros; ; ;;NINGUNO                   
