id;fecha;raz_soc_prove;mat_id;med_id;cantidad;precio;idMoneda;TCV_a_Soles;Precio_S;Subtotal_S
01298-10-2013;26/09/2013;COMPAÑIA DISTRIBUIDORA DE PERNOS Y AFINES S.R.LTDA;02030010001;2;5;24.45;2;2.764;67.5798;337.899
01299-10-2013;7/09/2013;SODIMAC PERU SA;02040010001;1;15;21.61;1;1;21.61;324.15
01299-10-2013;7/09/2013;SODIMAC PERU SA;05020020012;16;24;25.34;1;1;25.34;608.16
01300-10-2013;27/09/2013;SEDISA SAC;01100010001;7;100;7.87;1;1;7.87;787
01300-10-2013;27/09/2013;SEDISA SAC;01100010010;7;100;7.8;1;1;7.8;780
01301-10-2013;27/09/2013;SEDISA SAC;01100010009;7;75;1.7;2;2.766;4.7022;352.665
01302-10-2013;27/09/2013;GASES Y TECNOLOGÍA S.R.L.;02010010001;17;80;14;1;1;14;1120
01302-10-2013;27/09/2013;GASES Y TECNOLOGÍA S.R.L.;02010030005;17;80;4.5;1;1;4.5;360
01303-10-2013;27/09/2013;SOL GAS;02010040002;12;1;114.11;1;1;114.11;114.11
01304-10-2013;27/09/2013;SEDISA SAC;01100010001;7;100;7.87;1;1;7.87;787
01304-10-2013;27/09/2013;SEDISA SAC;01100010010;7;100;7.8;1;1;7.8;780
01305-10-2013;27/09/2013;SEDISA SAC;01100010007;7;75;1.7;2;2.766;4.7022;352.665
01311-10-2013;27/09/2013;DIMARI TOTAL SECURITY EIRL ;05020020021;18;24;7.89;1;1;7.89;189.36
01311-10-2013;27/09/2013;DIMARI TOTAL SECURITY EIRL ;02060040006;16;36;4.98;1;1;4.98;179.28
01311-10-2013;27/09/2013;DIMARI TOTAL SECURITY EIRL ;02060040005;16;12;2.54;1;1;2.54;30.48
01311-10-2013;27/09/2013;DIMARI TOTAL SECURITY EIRL ;02060010032;16;12;7.2;1;1;7.2;86.4
01312-10-2013;27/09/2013;TODO PARA CORTAR Y SOLDAR S.A.C.;03040010001;19;4;57.86;1;1;57.86;231.44
01312-10-2013;27/09/2013;TODO PARA CORTAR Y SOLDAR S.A.C.;02060040007;20;1;43.75;1;1;43.75;43.75
01313-10-2013;27/09/2013;TODO PARA CORTAR Y SOLDAR S.A.C.;03040010001;19;4;57.86;1;1;57.86;231.44
01313-10-2013;27/09/2013;TODO PARA CORTAR Y SOLDAR S.A.C.;02060040007;20;1;43.75;1;1;43.75;43.75
01314-10-2013;27/09/2013;TODO PARA CORTAR Y SOLDAR S.A.C.;03040010001;19;4;57.86;1;1;57.86;231.44
01315-10-2013;27/09/2013;SEDISA SAC;01100010001;7;40;7.87;1;1;7.87;314.8
01312-10-2013;27/09/2013;TODO PARA CORTAR Y SOLDAR S.A.C.;02060060001;16;12;13.24;1;1;13.24;158.88
01313-10-2013;27/09/2013;TODO PARA CORTAR Y SOLDAR S.A.C.;02060060001;16;12;13.24;1;1;13.24;158.88
01316-10-2013;27/09/2013;SEGURIDAD INDUSTRIAL MAFE E.I.R.L.;05020010002;16;9;22.46;1;1;22.46;202.14
01316-10-2013;27/09/2013;SEGURIDAD INDUSTRIAL MAFE E.I.R.L.;05020010003;16;9;22.46;1;1;22.46;202.14
01316-10-2013;27/09/2013;SEGURIDAD INDUSTRIAL MAFE E.I.R.L.;05020010004;16;72;8.05;1;1;8.05;579.6
01316-10-2013;27/09/2013;SEGURIDAD INDUSTRIAL MAFE E.I.R.L.;05020010005;16;12;31.78;1;1;31.78;381.36
01317-10-2013;27/09/2013;SUMINISTROS GENERALES Y MANTENIMIENTO INDUSTRIAL SRL;01020030081;4;1;15.49;2;2.766;42.84534;42.84534
01317-10-2013;27/09/2013;SUMINISTROS GENERALES Y MANTENIMIENTO INDUSTRIAL SRL;01020040019;4;1;7.88;2;2.766;21.79608;21.79608
