Mayor60Años,Conyuge,Dependientes,MesesDeContrato,TelefonoFijo,VariasLineasTelefonicas,ServicioDeInternet,SeguridadOnline,BackupOnline,SeguroEnDispositivo,SoporteTecnico,TVCable,Streaming,TipoDeContrato,PagoOnline,FormaDePago,CuentaMensual,Churn
0,Si,No,1,No,SinServicioTelefonico,DSL,No,Si,No,No,No,No,Mensual,Si,ChequeDigital,29.85,No
0,No,No,34,Si,No,DSL,Si,No,Si,No,No,No,UnAño,No,ChequePapel,56.95,No
0,No,No,2,Si,No,DSL,Si,Si,No,No,No,No,Mensual,Si,ChequePapel,53.85,Si
0,No,No,45,No,SinServicioTelefonico,DSL,Si,No,Si,Si,No,No,UnAño,No,DebitoEnCuenta,42.3,No
0,No,No,2,Si,No,FibraOptica,No,No,No,No,No,No,Mensual,Si,ChequeDigital,70.7,Si
0,No,No,8,Si,Si,FibraOptica,No,No,Si,No,Si,Si,Mensual,Si,ChequeDigital,99.65,Si
0,No,Si,22,Si,Si,FibraOptica,No,Si,No,No,Si,No,Mensual,Si,TarjetaDeCredito,89.1,No
0,No,No,10,No,SinServicioTelefonico,DSL,Si,No,No,No,No,No,Mensual,No,ChequePapel,29.75,No
0,Si,No,28,Si,Si,FibraOptica,No,No,Si,Si,Si,Si,Mensual,Si,ChequeDigital,104.8,Si
0,No,Si,62,Si,No,DSL,Si,Si,No,No,No,No,UnAño,No,DebitoEnCuenta,56.15,No
0,Si,Si,13,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,ChequePapel,49.95,No
0,No,No,16,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,DosAños,No,TarjetaDeCredito,18.95,No
0,Si,No,58,Si,Si,FibraOptica,No,No,Si,No,Si,Si,UnAño,No,TarjetaDeCredito,100.35,No
0,No,No,49,Si,Si,FibraOptica,No,Si,Si,No,Si,Si,Mensual,Si,DebitoEnCuenta,103.7,Si
0,No,No,25,Si,No,FibraOptica,Si,No,Si,Si,Si,Si,Mensual,Si,ChequeDigital,105.5,No
0,Si,Si,69,Si,Si,FibraOptica,Si,Si,Si,Si,Si,Si,DosAños,No,TarjetaDeCredito,113.25,No
0,No,No,52,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,UnAño,No,ChequePapel,20.65,No
0,No,Si,71,Si,Si,FibraOptica,Si,No,Si,No,Si,Si,DosAños,No,DebitoEnCuenta,106.7,No
0,Si,Si,10,Si,No,DSL,No,No,Si,Si,No,No,Mensual,No,TarjetaDeCredito,55.2,Si
0,No,No,21,Si,No,FibraOptica,No,Si,Si,No,No,Si,Mensual,Si,ChequeDigital,90.05,No
1,No,No,1,No,SinServicioTelefonico,DSL,No,No,Si,No,No,Si,Mensual,Si,ChequeDigital,39.65,Si
0,Si,No,12,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,UnAño,No,DebitoEnCuenta,19.8,No
0,No,No,1,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,ChequePapel,20.15,Si
0,Si,No,58,Si,Si,DSL,No,Si,No,Si,No,No,DosAños,Si,TarjetaDeCredito,59.9,No
0,Si,Si,49,Si,No,DSL,Si,Si,No,Si,No,No,Mensual,No,TarjetaDeCredito,59.6,No
0,No,No,30,Si,No,DSL,Si,Si,No,No,No,No,Mensual,Si,DebitoEnCuenta,55.3,No
0,Si,Si,47,Si,Si,FibraOptica,No,Si,No,No,Si,Si,Mensual,Si,ChequeDigital,99.35,Si
0,Si,Si,1,No,SinServicioTelefonico,DSL,No,Si,No,No,No,No,Mensual,No,ChequeDigital,30.2,Si
0,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,DosAños,Si,TarjetaDeCredito,90.25,No
0,No,Si,17,Si,No,DSL,No,No,No,No,Si,Si,Mensual,Si,ChequePapel,64.7,Si
1,Si,No,71,Si,Si,FibraOptica,Si,Si,Si,Si,No,No,DosAños,Si,TarjetaDeCredito,96.35,No
1,Si,No,2,Si,No,FibraOptica,No,No,Si,No,Si,Si,Mensual,Si,TarjetaDeCredito,95.5,No
0,Si,Si,27,Si,No,DSL,Si,Si,Si,Si,No,No,UnAño,No,ChequePapel,66.15,No
0,No,No,1,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,DebitoEnCuenta,20.2,No
1,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,No,DebitoEnCuenta,45.25,No
0,Si,Si,72,Si,Si,FibraOptica,Si,Si,No,Si,Si,No,DosAños,No,DebitoEnCuenta,99.9,No
0,No,No,5,Si,No,FibraOptica,No,No,No,No,No,No,Mensual,Si,ChequeDigital,69.7,Si
0,No,No,46,Si,No,FibraOptica,No,No,Si,No,No,No,Mensual,Si,TarjetaDeCredito,74.8,No
0,No,No,34,Si,Si,FibraOptica,No,Si,Si,No,Si,Si,Mensual,Si,ChequeDigital,106.35,Si
0,No,No,11,Si,Si,FibraOptica,No,No,Si,No,Si,Si,Mensual,Si,DebitoEnCuenta,97.85,Si
0,Si,Si,10,Si,No,DSL,No,Si,No,No,No,No,UnAño,No,ChequePapel,49.55,No
0,Si,Si,70,Si,Si,DSL,Si,Si,No,No,Si,No,DosAños,Si,TarjetaDeCredito,69.2,No
0,Si,Si,17,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,UnAño,No,ChequePapel,20.75,No
0,No,No,63,Si,Si,DSL,Si,Si,Si,Si,Si,No,DosAños,Si,TarjetaDeCredito,79.85,No
0,Si,No,13,Si,Si,DSL,Si,Si,No,Si,Si,No,Mensual,Si,ChequeDigital,76.2,No
0,No,No,49,Si,Si,FibraOptica,No,No,No,No,No,Si,Mensual,Si,ChequeDigital,84.5,No
0,No,No,2,Si,No,DSL,No,Si,No,No,No,No,Mensual,No,ChequePapel,49.25,No
0,No,No,2,Si,No,FibraOptica,No,No,No,No,Si,No,Mensual,Si,ChequeDigital,80.65,Si
0,No,No,52,Si,Si,DSL,Si,No,No,Si,Si,Si,DosAños,Si,TarjetaDeCredito,79.75,No
0,Si,Si,69,Si,Si,DSL,Si,No,Si,Si,No,No,DosAños,Si,TarjetaDeCredito,64.15,No
1,No,No,43,Si,Si,FibraOptica,No,Si,No,No,Si,No,Mensual,Si,ChequeDigital,90.25,No
0,No,No,15,Si,No,FibraOptica,Si,Si,No,No,Si,Si,Mensual,Si,TarjetaDeCredito,99.1,Si
1,Si,No,25,Si,Si,DSL,Si,No,No,Si,Si,No,Mensual,Si,TarjetaDeCredito,69.5,No
1,Si,No,8,Si,Si,FibraOptica,No,Si,No,No,No,No,Mensual,Si,TarjetaDeCredito,80.65,Si
1,Si,Si,60,Si,No,DSL,Si,Si,Si,Si,No,Si,UnAño,Si,TarjetaDeCredito,74.85,No
