id,name,bill_type,account_id,member_id,account_book_id,category_id,money,icon,icon_fontFamily,note,transfer_to_id,extdata,task_id,fecha
1,transporte,1,1,1,1,34,5.0,31,cute-color,Home ed,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704171600000
2,familia,1,1,1,1,35,12.0,48,cute-color,netflix,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704171600000
3,basedata.communication,1,1,1,1,18,5.0,35,cute-color,spotify,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704171600000
4,inversion,1,1,1,1,33,30.0,341,cute-color,método hit/lacra,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704171600000
5,inversion,1,1,1,1,33,3.0,341,cute-color,método pedidos,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704322480770
7,transporte,1,1,1,1,34,4.0,31,cute-color,bus angie,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704322562605
8,alimentos,1,1,1,1,36,8.0,97,cute-color,picarones x2,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704329858234
9,transporte,1,1,1,1,34,14.2,31,cute-color,ger back home,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704258000000
10,atom store,2,1,1,1,37,35.0,245,cute-color,foco smart,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704383313907
12,familia,1,1,1,1,35,12.3,48,cute-color,recibos casa,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704394096111
13,inversion,1,1,1,1,33,124.0,341,cute-color,aliexpress me,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704401139523
14,inversion,1,1,1,1,33,9.0,341,cute-color,metodos,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704344400000
15,transporte,1,1,1,1,34,14.4,31,cute-color,bus wk,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704344400000
16,alimentos,1,1,1,1,36,6.0,97,cute-color,lonche emoliente + panes ,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704344400000
17,basedata.wage,2,1,1,1,28,64.25,48,cute-color,wk didi,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704487230043
18,entretenimiento,1,1,1,1,32,48.0,66,cute-color,machine learning sharp god,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1704430800000
19,transporte,1,1,1,1,34,13.0,31,cute-color,comas neko,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704430800000
20,neko,1,1,1,1,38,8.0,354,cute-color,papel+pastilla neko,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704430800000
21,neko,1,1,1,1,38,15.0,354,cute-color,jugos,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704430800000
22,neko,1,1,1,1,38,3.0,354,cute-color,piqueos,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704430800000
23,transporte,1,1,1,1,34,5.0,31,cute-color,wk,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704517200000
24,alimentos,1,1,1,1,36,35.0,97,cute-color,frituras,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704517200000
25,transporte,1,1,1,1,34,7.0,31,cute-color,bus home,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704603600000
26,basedata.medical,1,1,1,1,22,6.0,39,cute-color,amoxicilinas,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704603600000
27,neko,1,1,1,1,38,9.0,354,cute-color,pastillas,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704690000000
28,neko,1,1,1,1,38,3.0,354,cute-color,pastillas colicos,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704603600000
29,familia,1,1,1,1,35,4.0,48,cute-color,marcianos,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704690000000
30,familia,1,1,1,1,35,17.0,48,cute-color,papitas alitas bbq,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704690000000
31,basedata.gift,1,1,1,1,17,20.0,34,cute-color,regale Jorge perea,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704690000000
32,basedata.gift,1,1,1,1,17,10.0,34,cute-color,preste anderson,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704690000000
33,entretenimiento,1,1,1,1,32,65.0,66,cute-color,shntl,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704776400000
34,transporte,1,1,1,1,34,1.5,31,cute-color,bus,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704862800000
35,neko,1,1,1,1,38,17.5,354,cute-color,helado pinkberry,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704862800000
36,neko,1,1,1,1,38,16.5,354,cute-color,cineplanet,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704862800000
37,neko,1,1,1,1,38,43.0,354,cute-color,cancha cine,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704862800000
38,alimentos,1,1,1,1,36,2.0,97,cute-color,pan con lomo,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704862800000
39,neko,1,1,1,1,38,3.5,354,cute-color,agua,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704862800000
40,basedata.gift,1,1,1,1,17,0.0,34,cute-color,pinguinos ,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704862800000
41,transporte,1,1,1,1,34,14.5,31,cute-color,,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1704862800000
42,entretenimiento,1,1,1,1,32,16.0,66,cute-color,machine learning bad,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1704949200000
43,basedata.communication,1,1,1,1,18,32.9,35,cute-color,entel,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1706894918435
44,familia,1,1,1,1,35,12.0,48,cute-color,netflix,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1706910328570
45,transporte,1,1,1,1,34,32.0,31,cute-color,wk,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1706910355874
46,Kia atom,1,1,1,1,39,60.0,116,cute-color,gasolina,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1706914116492
47,basedata.dress,1,1,1,1,19,30.0,36,cute-color,Polo camisero negro,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1706986173466
48,basedata.dress,1,1,1,1,19,110.0,36,cute-color,zapatos botines beige,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1706986195941
49,basedata.dress,1,1,1,1,19,6.0,36,cute-color,cochera hueco ,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1706986321201
50,basedata.beautify,1,1,1,1,21,10.0,38,cute-color,corte,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1706936400000
51,alimentos,1,1,1,1,36,29.5,97,cute-color,rachi,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1706936400000
52,entretenimiento,1,1,1,1,32,20.0,66,cute-color,Bad ,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1706936400000
53,basedata.recreation,1,1,1,1,20,40.0,37,cute-color,entrada eucaliptos ,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707022800000
54,basedata.gift,1,1,1,1,17,3.0,34,cute-color,pastilla liz,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707022800000
55,alimentos,1,1,1,1,36,59.0,97,cute-color,comida paseo,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707022800000
56,neko,1,1,1,1,38,40.0,354,cute-color,polo gengar,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707022800000
57,basedata.dress,1,1,1,1,19,0.0,36,cute-color,polo camisero azul marino,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707022800000
58,alimentos,1,1,1,1,36,13.0,97,cute-color,almuerzo fortel,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707109200000
59,transporte,1,1,1,1,34,1.5,31,cute-color,pasaje get back,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707109200000
60,neko,1,1,1,1,38,5.0,354,cute-color,marcianos,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707109200000
61,transporte,1,1,1,1,34,10.5,31,cute-color,ir promusic,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707195600000
62,alimentos,1,1,1,1,36,50.0,97,cute-color,almuerzo marino,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707195600000
63,neko,1,1,1,1,38,20.0,354,cute-color,cremolada x4,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707195600000
64,transporte,1,1,1,1,34,4.0,31,cute-color,get back home,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707195600000
65,basedata.medical,1,1,1,1,22,2.5,39,cute-color,vitapirena ,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707195600000
66,basedata.dress,1,1,1,1,19,106.0,36,cute-color,polos camiseros: plomo vino negro,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707282000000
67,neko,1,1,1,1,38,110.0,354,cute-color,ventilador ,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707359728405
68,transporte,1,1,1,1,34,8.0,31,cute-color,cochera,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707359761466
69,alimentos,1,1,1,1,36,1.0,97,cute-color,pancitos,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707359784553
70,basedata.medical,1,1,1,1,22,3.0,39,cute-color,pastilla gripe,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707359800434
71,Kia atom,1,1,1,1,39,16.4,116,cute-color,gnv,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1707359835089
72,entretenimiento,1,1,1,1,32,12.0,66,cute-color,bus hua,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1709269200000
73,familia,1,1,1,1,35,1.5,48,cute-color,,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1709269200000
74,familia,1,1,1,1,35,12.0,48,cute-color,Netflix,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1709269200000
75,basedata.tax,1,1,1,1,23,50.0,24,cute-color,jordan pague deuda,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1709421080303
76,basedata.gift,1,1,1,1,17,77.9,34,cute-color,babyshower pañales ed + di 20,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1709429253937
77,neko,1,1,1,1,38,12.3,354,cute-color,taxi comas - casa,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1709430077536
78,basedata.communication,1,1,1,1,18,32.9,35,cute-color,entel,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1709435854335
79,transporte,1,1,1,1,34,6.0,31,cute-color,taxi ed-home,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1709450637763
80,neko,1,1,1,1,38,3.0,354,cute-color,regale yape,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1709512250838
81,basedata.social,1,1,1,1,15,48.0,32,cute-color,entradas retama x tods,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1709512289740
82,basedata.gift,1,1,1,1,17,10.0,34,cute-color,pollo brasa- liz,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1709512394935
83,entretenimiento,1,1,1,1,32,47.0,66,cute-color,3.5 2 35 3 2 1.5 huac,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1709528400000
84,familia,1,1,1,1,35,7.5,48,cute-color,emoliente x3,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1711602000000
85,basedata.social,1,1,1,1,15,55.0,32,cute-color,sillas 15 + vino 20 + fogata 20,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1711688400000
86,basedata.social,1,1,1,1,15,44.0,32,cute-color,comida x2,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1711602000000
87,basedata.social,1,1,1,1,15,100.0,32,cute-color,flotador 20 + comida 80,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1711763410846
88,basedata.social,1,1,1,1,15,10.0,32,cute-color,emolientes x5,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1711763462272
89,basedata.social,1,1,1,1,15,30.0,32,cute-color,hs,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1711763505943
90,basedata.social,1,1,1,1,15,20.0,32,cute-color,desayuno ,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1711819210957
91,basedata.social,1,1,1,1,15,20.0,32,cute-color,gnv brx,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1711819225610
92,basedata.social,1,1,1,1,15,14.0,32,cute-color,fruta viaje,,"{""latitude"":null,""longitude"":null,""pictures"":null}",,1711827599458
93,basedata.gift,1,1,1,1,17,30.0,34,cute-color,torta mama,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717035161117
94,deudas,1,1,1,1,23,30.0,24,cute-color,pague pipi,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717035445282
95,deudas,1,1,1,1,23,80.0,24,cute-color,pague dumer,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717035470576
96,basedata.communication,1,1,1,1,18,32.9,35,cute-color,entel,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717035709032
97,basedata.dress,1,1,1,1,19,191.2,36,cute-color,zapatillas adidas,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717043566887
98,basedata.gift,1,1,1,1,17,100.0,34,cute-color,chito carrion,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717076677147
99,Kia atom,1,1,1,1,39,480.0,116,cute-color,carro manto ,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717118589253
100,transporte,1,1,1,1,34,10.0,31,cute-color,metropolitano,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717118655163
101,alimentos,1,1,1,1,36,10.0,97,cute-color,almuerzo,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717118673357
102,transporte,1,1,1,1,34,2.0,31,cute-color,bus,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717118691047
103,deudas,1,1,1,1,23,1270.0,24,cute-color,Saga Falabella,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717045200000
104,alimentos,1,1,1,1,36,10.0,97,cute-color,almuerzo ,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717131600000
105,neko,1,1,1,1,38,20.0,354,cute-color,regalo,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717182500305
106,basedata.gift,1,1,1,1,17,100.0,34,cute-color,mama,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717182518932
107,basedata.gift,1,1,1,1,17,80.0,34,cute-color,liz,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717205889679
108,basedata.gift,1,1,1,1,17,20.0,34,cute-color,Anderson ,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717212835041
109,Kia atom,1,1,1,1,39,260.0,116,cute-color,pastilla - disco ,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717259143490
110,neko,1,1,1,1,38,20.0,354,cute-color,taxi Home 3am,,"{""latitude"":null,""longitude"":null,""pictures"":null,""attachBillIds"":null}",,1717371415808
